Coin,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
NEAR,Extreme Greed,187.0,170.0,0.9090909090909091,711050.52,12881.069498,21.387254,12859.682244000001,68.76835424598931,75.69055171176471,20.091880999999997,1.0,inf,12867.393791,0.0,18.085469150630818,0.30078388804216044
JELLY,Fear,461.0,427.0,0.9262472885032538,804465.14,12382.990255,119.35893800000001,12263.631317000001,26.602237130151845,28.820191451990635,10.887687000000001,0.8501170960187353,9.106694806838496,13824.253703,-1518.0319530000002,15.244453373082147,1.4837055338407827
@151,Greed,291.0,289.0,0.993127147766323,540375.62,11628.555251,55.336076,11573.219174999998,39.77051262886597,40.0457410899654,28.850199,0.9896193771626297,57800.91497235669,11573.419404,-0.20022899999999988,21.416989861607746,1.0240298405764494
WIF,Extreme Greed,159.0,146.0,0.9182389937106918,483746.61000000004,11462.282016,28.563863999999995,11433.718151999998,71.91017705660376,78.34893363013698,24.950578999999998,0.9794520547945206,17.305540974798078,12140.481555999999,-701.537246,23.635758712603685,0.5904716107467914
JELLY,Greed,136.0,117.0,0.8602941176470589,521285.99,10668.043740000001,90.70297300000001,10577.340767000002,77.77456446323531,90.74741061538462,40.94454,1.0,inf,10617.447042000002,0.0,20.290859470441553,1.7399848593667369
ONDO,Greed,185.0,129.0,0.6972972972972973,573064.99,9830.81453,62.033621,9768.780909000001,52.80422112972973,75.94643395348838,19.490358,0.9612403100775194,56.61944312749009,9973.235037,-176.145057,17.04654983198328,1.082488410258669
ZEREBRO,Extreme Greed,174.0,153.0,0.8793103448275862,481780.53,9642.264996,56.023944,9586.241052000001,55.09333937931035,62.820756006535944,16.270519,1.0,inf,9611.575669,0.0,19.89752689258738,1.1628519732833538
PNUT,Greed,495.0,402.0,0.8121212121212121,775681.98,9491.958606,177.150765,9314.807841,18.817793618181817,23.50582916915422,1.236706,1.0,inf,9449.343325999997,0.0,12.008539686586506,2.2838066316817107
AAVE,Extreme Greed,232.0,110.0,0.47413793103448276,553963.12,9470.997255000002,187.00042699999997,9283.996827999998,40.01722770689654,85.22809185454547,19.184197,0.8818181818181818,226.27525918720744,9416.706258999999,-41.616155,16.75923268682579,3.3756836917230153
FARTCOIN,Extreme Greed,394.0,200.0,0.5076142131979695,471703.55,8392.770766,160.895582,8231.875184,20.893084223350254,41.566153025000006,15.5046535,0.965,61.58111457967784,8450.455393,-137.224788,17.451374245540446,3.410947023824603
WLD,Greed,1076.0,541.0,0.5027881040892194,1312544.72,8147.2458050000005,331.73367199999996,7815.512133,7.263487112453531,14.815380020332718,1.942089,0.6580406654343808,2.9442543024553602,12137.585734,-4122.465142999999,5.95447302778377,2.527408528983302
ONDO,Extreme Greed,303.0,260.0,0.858085808580858,469705.58999999997,6754.784711,23.816527999999998,6730.968183000001,22.214416445544558,25.912010026923078,10.518196,0.9769230769230769,171.8188587332449,6776.562763999999,-39.440157,14.330185389107251,0.5070522579899465
ONDO,Fear,526.0,212.0,0.40304182509505704,326810.23999999993,6759.386169,41.197999,6718.188169999999,12.772220855513307,31.769488108490563,1.3698605000000001,1.0,inf,6735.131479,0.0,20.556847208949147,1.2606091840941096
USUAL,Extreme Greed,235.0,182.0,0.774468085106383,432863.5,6464.589204,58.55595600000001,6406.033248,27.25971594893617,35.32518617582418,1.949368,0.7967032967032966,13.852800911458026,6929.400446,-500.21656199999995,14.799199396576519,1.352757994148271
ZEREBRO,Greed,217.0,189.0,0.8709677419354839,376373.93000000005,6155.199495,63.912468000000004,6091.287027,28.07044712903226,32.32820052380952,13.161191,0.9047619047619048,31.0282948160413,6313.505652,-203.475753,16.184136417206155,1.6981109185750456
APE,Extreme Greed,285.0,102.0,0.35789473684210527,366789.35,5772.692231999999,74.391445,5698.300787,19.994037849122808,56.25083432352941,18.8308805,0.9313725490196079,2004.541930586115,5740.448822,-2.863721,15.53562225020983,2.028178980660153
PENGU,Greed,361.0,190.0,0.5263157894736842,465393.48,5020.278249,122.556864,4897.721385000001,13.567095249307481,26.10427573157895,4.522406500000001,0.9894736842105263,191.02792976010863,4985.912828,-26.100439,10.523828965115714,2.63340311514463
CHILLGUY,Extreme Greed,174.0,124.0,0.7126436781609196,254542.62,4621.293605000001,38.770919,4582.522686,26.33633727586207,37.062030338709675,11.6277425,0.8870967741935484,37.736635588980285,4720.790091999999,-125.09832999999999,18.002968170909845,1.523160207905458
GRIFFAIN,Extreme Greed,276.0,218.0,0.7898550724637681,303827.44999999995,4240.792641,42.625677,4198.166964,15.210749869565218,19.331763935779815,10.504691,1.0,inf,4214.324538,0.0,13.817602603056441,1.4029567440334971
PURR,Fear,162.0,125.0,0.7716049382716049,203091.46,4186.3317529999995,23.173844000000003,4163.157909,25.69850561111111,33.401496208,5.50795,0.976,1304.6911779813142,4178.389614999999,-3.2025889999999997,20.498931412477905,1.1410545770856146
PENDLE,Fear,328.0,181.0,0.551829268292683,143888.76,4171.514997,43.34946,4128.165536999999,12.585870539634143,22.92429940331492,12.179374,1.0,inf,4149.298192,0.0,28.68997923812811,3.0127064824243392
VINE,Neutral,571.0,189.0,0.3309982486865149,456775.48,3845.8661110000003,83.625497,3762.2406140000003,6.588862721541156,20.071368809523808,4.555319,0.9841269841269841,67.19211952159993,3850.798982,-57.310277000000006,8.2365205198843,1.830779029557366
JELLY,Neutral,240.0,218.0,0.9083333333333333,501672.58,3539.484892,80.820161,3458.664731,14.411103045833332,15.975798183486237,10.269382,0.7981651376146789,4.359728188469976,4519.332863,-1036.6088590000002,6.894267035682914,1.6110141200063197
ZEREBRO,Neutral,301.0,227.0,0.7541528239202658,281159.0,3420.751088,47.505917,3373.245171,11.206794588039868,14.946746977973566,5.232993,0.9911894273127754,82.07455629400718,3434.760841,-41.849277,11.99764251188829,1.6896459654501543
PURR,Greed,315.0,174.0,0.5523809523809524,228581.50999999998,3314.362879,35.729824,3278.633055,10.408358904761904,18.914055729885057,5.564685000000001,0.8620689655172413,67.28132123040996,3340.6983840000003,-49.652687,14.343386982612898,1.5631108570417616
TNSR,Greed,243.0,129.0,0.5308641975308642,131277.14,2974.547001,31.9166,2942.6304009999994,12.109590127572014,22.92408137209302,6.44404,0.9922480620155039,2155.118724664285,2958.579312,-1.372815,22.415406071460723,2.4312382186266395
DOGE,Greed,284.0,149.0,0.5246478873239436,373828.2,3027.3036439999996,116.91019399999999,2910.39345,10.24786426056338,19.742138865771818,6.557430999999999,0.8791946308724832,3.070366270435088,4362.379799,-1420.8011079999999,7.785376945880487,3.127377602866771
ZETA,Extreme Greed,157.0,153.0,0.9745222929936306,156691.08000000002,2472.616221,-2.9042520000000005,2475.5204730000005,15.767646324840767,16.169656241830065,8.576407,1.0,inf,2473.957405,0.0,15.798732595371733,-0.18534890435371307
SEI,Neutral,151.0,129.0,0.8543046357615894,878907.99,2524.5557299999996,260.871724,2263.684006,14.99128480794702,18.7084570620155,3.517591,0.9224806201550387,12.668185014227074,2620.2261249999992,-206.835164,2.575564259007362,2.9681346280627166
