Account,classification,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,Extreme Greed,206.0,76.0,0.36893203883495146,554152.63,36870.155091,102.23831808,36767.91677292,178.4850328782524,484.5607470657895,94.7006615,1.0,inf,36826.616777,0.0,66.34980108805041,1.844948711693383
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Greed,3398.0,1428.0,0.42024720423778694,1667155.83,36566.483324,378.32311559,36188.16020841,10.649841144323132,25.46754492086834,5.306344,0.8340336134453782,6.6760387326527955,42774.878597,-6407.22445,21.706525303282536,2.269272666550912
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Extreme Greed,825.0,476.0,0.576969696969697,1523508.3,35658.894935,442.18215348999996,35216.71278151,42.68692458364849,74.32279227310923,9.2925015,1.0,inf,35377.649121999995,0.0,23.11553719891779,2.9023941221061933
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Greed,4115.0,1400.0,0.3402187120291616,4833683.86,35098.877549,502.80489136829993,34596.072657631696,8.407308057747677,24.815649985714284,11.5005095,0.9921428571428571,304.12528968839024,34856.522356999994,-114.612377,7.157289069714149,1.0402105432031707
0xb899e522b5715391ae1d4f137653e7906c5e2115,Fear,2947.0,1643.0,0.5575161180861894,68691467.31,51692.358711,17944.384255,33747.974455999996,11.451637073634203,26.25022332258064,4.9378910000000005,0.8880097382836275,2.3974072220412785,73992.78803700002,-30863.671118,0.4912979119181956,2.6123163411283956
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,Extreme Fear,509.0,312.0,0.6129666011787819,3177278.1900000004,33979.99999999999,665.05679233,33314.943207669996,65.45175482842828,108.44424724679487,18.435791,1.0,inf,33834.605141,0.0,10.48537182312953,2.0931651324179454
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,Extreme Greed,161.0,78.0,0.484472049689441,449446.74000000005,30992.181771000003,24.25606888,30967.925702120003,192.347364609441,397.2087707307693,75.94701849999998,0.9487179487179487,6.179228805091909,36964.310647,-5982.02653,68.90232578418525,0.5396872804105776
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Greed,2970.0,1440.0,0.48484848484848486,1489279.85,31192.591971,492.24852719,30700.343443809994,10.336815974346798,21.503717066666663,4.520106999999999,0.9201388888888888,11.915275650386635,33802.234902,-2836.882326,20.614220654237677,3.3052789050358804
0x6d6a4b953f202f8df5bed40692e7fd865318264a,Greed,241.0,122.0,0.5062240663900415,132946.9,30203.401038000004,27.908364759999998,30175.49267324,125.20951316697096,247.42788518032785,253.4708985,1.0,inf,30186.201992,0.0,226.97402251003976,2.0992113964297023
0xbd5fead7180a9c139fa51a103cb6a2ce86ddb5c3,Greed,350.0,100.0,0.2857142857142857,839231.03,30258.203855,136.573241,30121.630614,86.06180175428572,302.26168983,72.17828,0.85,11.069098551995669,33228.043364,-3001.874381,35.891940999846014,1.6273616694082438
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Extreme Fear,5079.0,2878.0,0.5666469777515258,7342854.15,30774.092128,1729.5149299199998,29044.57719808,5.718562157527072,10.32487037943016,3.644158,0.718554551772064,1.8964556850458307,62862.155834000005,-33147.178882,3.955488779261671,2.3553714871484948
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2943.0,1662.0,0.564729867482161,6487032.05,30053.395556,1386.71850896,28666.67704704,9.740631004770643,17.67509434717208,1.4353495,0.7111913357400722,4.5884074090479485,37562.370129,-8186.363324000002,4.419074366534077,2.1376779061234945
0x271b280974205ca63b716753467d5a371de622ab,Fear,1868.0,756.0,0.40471092077087795,13491850.52,30121.910490000002,3916.8422060000003,26205.068284,14.02840914561028,36.739148276455026,7.431944,0.8425925925925926,59.03418636921388,28253.389799,-478.5937019999999,1.9422886612295496,2.90311710776351
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,Extreme Fear,316.0,291.0,0.9208860759493671,1079447.85,25672.838055,210.19570199999998,25462.642353000003,80.57798212974684,87.67583003092784,32.058895,0.993127147766323,5.355016401882246,31372.121292,-5858.454753,23.588580358930727,1.9472520326016673
0xbee1707d6b44d4d52bfe19e41f8a828645437aab,Neutral,8143.0,4292.0,0.5270784723075034,13239784.34,27116.682664,3109.55860352,24007.124060479997,2.948191583013631,5.896854400279589,1.4899005,0.6551724137931034,1.532801617193947,72811.59312800001,-47502.29404200001,1.8132564280484342,2.3486474731506086
0xae5eacaf9c6b9111fd53034a602c192a04e082ed,Extreme Greed,190.0,105.0,0.5526315789473685,643594.44,20925.513222,201.36228461,20724.150937389997,109.07447861784209,198.1830698285714,100.670616,1.0,inf,20809.222331999998,0.0,32.20063699958315,3.1287138622577286
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,Extreme Greed,167.0,96.0,0.5748502994011976,878585.3799999999,20496.054182,205.10879,20290.945392,121.50266701796409,212.06651294791672,42.3878335,0.625,9.319770966867056,22805.373907,-2446.9886639999995,23.095018257645037,2.3345345218469267
0x2c229d22b100a7beb69122eed721cee9b24011dd,Greed,253.0,167.0,0.6600790513833992,1022433.7599999999,20075.672949,333.813676,19741.859273000002,78.03106432015811,119.26192955089823,24.271067,0.7964071856287425,63.736662680525505,20234.207994000004,-317.465759,19.308692695162964,3.264892935460191
0x271b280974205ca63b716753467d5a371de622ab,Extreme Fear,797.0,306.0,0.383939774153074,4886973.24,16706.884912,1181.135135,15525.749777,19.48023811417817,53.46870700326798,1.3760805,0.9738562091503268,923.653950132076,16379.157345000003,-17.733002,3.1769663991448414,2.4169052642490017
0x39cef799f8b69da1995852eea189df24eb5cae3c,Extreme Greed,115.0,64.0,0.5565217391304348,546525.6299999999,14406.384864999998,86.29597369,14320.088891309997,124.5225120983478,224.64302859375,46.9139555,0.890625,6.112222503574576,17189.463705,-2812.3098749999995,26.202044524993276,1.578992254946946
0xaf40fdc468c30116bd3307bcbf4a451a7ebf1deb,Fear,455.0,207.0,0.45494505494505494,3438057.09,14542.702934,395.11793744639994,14147.584996553598,31.093593399018896,68.95261235265701,5.881246,0.714975845410628,4.657665441791113,18175.458743000003,-3902.2679859999994,4.1149942034713565,1.1492477498283775
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,Fear,1399.0,673.0,0.4810578984989278,917809.0700000001,13422.524859000001,269.57603212699996,13152.948826872998,9.401678932718369,19.74544101040119,4.28857,0.8900445765230312,7.243202145100802,15417.185969999999,-2128.5041699999997,14.330811556343628,2.937168970524555
0x8170715b3b381dffb7062c0298972d4727a0a63b,Extreme Fear,159.0,55.0,0.34591194968553457,816051.26,12713.493131,92.84647000000001,12620.646660999999,79.37513623270439,230.63547452727275,62.022366,0.8,3.7474162068338224,17301.998588000002,-4617.047489,15.465507229288512,1.1377529151783923
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Fear,2324.0,743.0,0.31970740103270223,2722493.0,12934.469345000001,468.235586,12466.233758999999,5.364128123493975,16.965976150740243,2.595799,0.9959623149394348,619.1629120503248,12626.112509999999,-20.392230000000005,4.578977341355881,1.7198780162152851
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,Neutral,1430.0,518.0,0.3622377622377622,4130620.47,12960.109958,740.3481309,12219.761827100001,8.545287990979022,24.162775806949803,4.529146000000001,0.8552123552123552,23.449973216405684,13073.838259999999,-557.520392,2.9583356582503937,1.7923412142970374
0x2c229d22b100a7beb69122eed721cee9b24011dd,Extreme Fear,112.0,77.0,0.6875,277460.03,11415.247787,91.484217,11323.763570000001,101.10503187500001,147.6492317012987,109.373848,1.0,inf,11368.990841,0.0,40.81223363956243,3.2972034566564417
0x39cef799f8b69da1995852eea189df24eb5cae3c,Neutral,272.0,113.0,0.41544117647058826,2965311.2899999996,10953.24796,161.401985,10791.845975,39.67590431985294,96.42622444247787,1.502827,1.0,inf,10896.163362,0.0,3.6393636011819868,0.5443003085183681
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,Fear,924.0,429.0,0.4642857142857143,498888.4,9999.484228,120.14044372590001,9879.343784274099,10.691930502461146,23.15222760839161,10.953105,0.8111888111888111,2.9739713215194756,14963.941886999999,-5031.636243,19.80271296000087,2.4081627018367233
0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,Extreme Fear,739.0,398.0,0.5385656292286874,1240856.4100000001,9544.906133999999,591.29443594,8953.61169806,12.11584803526387,23.389899904522615,2.6179745,0.5778894472361809,6.622669265231417,10964.831547999998,-1655.651386,7.215671068709714,4.765212406325079
0x8477e447846c758f5a675856001ea72298fd9cb5,Fear,1474.0,584.0,0.39620081411126185,1182485.92,9299.484548,386.492636,8912.991912000001,6.0468059104477625,15.584346547945204,5.066806,0.8133561643835616,11.316375335102652,9983.473124,-882.2147400000001,7.537503627950176,3.2684755857388983
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,Neutral,5399.0,1826.0,0.33821077977403224,6313359.24,9467.021637000002,905.5027867359001,8561.518850264103,1.585760113032803,4.872619613910185,2.0327815,0.943592552026287,1.9915312667668463,17870.800133,-8973.396718,1.3560956259260961,1.4342646320501478
