Coin,rows,realized_trades,realized_rate,notional_usd,gross_pnl,fees,net_pnl,avg_net_per_row,avg_net_per_realized,median_net_realized,win_rate_realized,profit_factor,gross_win_sum,gross_loss_sum,pnl_per_1k_notional,avg_fee_bps
ZETA,245.0,230.0,0.9387755102040817,313968.58,4622.601501,6.366140999999999,4616.235360000001,18.841776979591838,20.05747756956522,9.314162999999999,0.9869565217391304,331.78146181947085,4627.166268999999,-13.946428000000001,14.702857719074949,0.20276363322724836
LINK,355.0,171.0,0.48169014084507045,443972.69,4601.098394,120.091159,4481.007234999999,12.622555591549293,26.5510721754386,3.894275,0.8830409356725146,9.532683345419896,5072.332466999999,-532.099125,10.092979446551091,2.704922210417943
TST,165.0,121.0,0.7333333333333333,490758.53,3357.994369,55.336389,3302.6579800000004,20.016108969696973,27.45658753719008,7.733435999999999,0.7603305785123967,2.4471087855373916,5618.029638000001,-2295.782546,6.729700612641415,1.1275685620787883
XRP,1774.0,874.0,0.4926719278466742,5343210.53,3756.9014649999954,701.847927,3055.053538000002,1.722127135287487,3.8995183821510344,1.003269,0.6510297482837528,1.080556020268949,45716.364781,-42308.185715,0.5717636467526578,1.3135322350848864
IP,469.0,267.0,0.5692963752665245,477338.87,3043.2881039999997,60.94889099999999,2982.339213,6.358932223880598,11.26599482397004,5.318373,0.9550561797752809,4.633514254850334,3835.874978,-827.8543599999999,6.2478448759054555,1.2768474312598928
PROMPT,125.0,115.0,0.92,231701.50999999998,2377.9761769999996,37.779475000000005,2340.196702,18.721573616,20.446828599999993,1.408429,0.6173913043478261,10.092113562175538,2610.0034060000003,-258.61811700000004,10.100049421343867,1.6305234696139879
HBAR,238.0,118.0,0.4957983193277311,75989.03,1909.508064,24.054130999999998,1885.4539330000002,7.922075348739496,16.0750845,2.627653,0.8983050847457628,51.321633118822305,1934.5546929999998,-37.694722,24.812185824717073,3.16547414804479
OGN,258.0,257.0,0.9961240310077519,58247.63999999999,1752.668422,12.329002000000003,1740.33942,6.745501627906977,6.782955,3.7308980000000003,1.0,inf,1743.219435,0.0,29.878282107223576,2.11665262317924
W,592.0,206.0,0.34797297297297297,306770.27999999997,1593.7574829999999,89.378912,1504.378571,2.541180018581081,7.558464844660193,2.8228435000000003,0.9854368932038835,479.89219938210175,1560.2951029999997,-3.251345,4.903925409593133,2.913545340832887
BIO,170.0,159.0,0.9352941176470588,150146.37,1298.512254,17.831362,1280.6808919999999,7.533417011764705,8.102894867924528,0.8816339999999999,0.8238993710691824,27.248104552984508,1337.44422,-49.083935999999994,8.529549478951772,1.1875986079450338
GRASS,201.0,125.0,0.6218905472636815,156915.52000000002,1253.272989,38.909302,1214.363687,6.041610383084577,9.831870991999997,4.532957000000001,0.856,2.6413641134375547,1977.7414860000001,-748.7576119999999,7.73896480730523,2.4796337545196288
BRETT,145.0,107.0,0.7379310344827587,144922.78,958.287363,29.567061999999996,928.7203010000001,6.404967593103449,8.819932392523365,7.6701179999999995,0.7663551401869159,2.0687586058580703,1826.750466,-883.0177000000001,6.408380387127545,2.0401942330943412
@153,102.0,101.0,0.9901960784313726,117912.92,35.21706700000001,11.319555,23.897512,0.23428933333333332,0.2366090297029703,0.203228,0.7227722772277227,5.828935244308942,28.846328000000003,-4.948816,0.2026708523544324,0.9599927641517146
@4,885.0,262.0,0.296045197740113,87457.2,-95.96397700000006,17.595607,-113.55958400000026,-0.12831591412429408,-0.4057184618320605,-2.5940175,0.33969465648854963,0.9466298695186864,1885.419528,-1991.717765,-1.2984589490630876,2.011910625997631
POPCAT,1152.0,654.0,0.5677083333333334,803456.85,-7922.181871000001,190.697891,-8112.8797620000005,-7.042430348958334,-12.225653007645258,-14.880403999999999,0.2599388379204893,0.3826928121846195,4956.7702,-12952.347267,-10.097467912558093,2.3734677350750073
S,144.0,116.0,0.8055555555555556,224183.07999999996,-8644.845718,32.092767,-8676.938484999999,-60.256517256944434,-74.71258831034481,-88.486064,0.31896551724137934,0.24528740332635535,2816.7312909999996,-11483.391534999999,-38.70469834297932,1.4315427819084299
KAITO,435.0,173.0,0.39770114942528734,897912.98,-8735.140961,212.65371,-8947.794670999996,-20.569642921839073,-51.11856286127166,3.837041,0.6011560693641619,0.5752345326254759,11976.239886,-20819.751261000005,-9.965102265255142,2.3683109024662947
PAXG,1265.0,485.0,0.383399209486166,3047336.3899999997,-18688.874329000002,568.8145529999999,-19257.688882,-15.223469471936758,-39.290733507216494,-1.1483,0.41649484536082476,0.02691169130052722,527.0121320000001,-19583.017883,-6.319515280687472,1.866595873257038
IO,352.0,130.0,0.3693181818181818,252981.67000000004,-21893.910517999997,83.55143000000001,-21977.461947999996,-62.435971443181806,-168.7651557307692,-23.392067,0.43846153846153846,0.021307919802143693,477.662466,-22417.132711,-86.87373258307605,3.3026673434482428
ADA,581.0,287.0,0.4939759036144578,1094836.4,-28113.461969999997,121.57845,-28235.040419999998,-48.59731569707401,-98.22033624738675,0.21164699999999997,0.5400696864111498,0.14721067921597084,4866.098286,-33055.334789,-25.7892781241106,1.1104713909767707
FARTCOIN,4650.0,2164.0,0.4653763440860215,8311390.399999999,-100687.213185,2357.939012,-103045.15219699999,-22.160247784301074,-46.98861815757855,3.921474,0.6982439926062847,0.4317146929533945,77246.770559,-178930.140252,-12.39806425131949,2.8369970588795828
TRUMP,1920.0,959.0,0.49947916666666664,7349346.94,-364824.9081789999,1729.7454109999999,-366554.65359,-190.913882078125,-381.4556563472367,7.743955,0.6996871741397289,0.21730454930115556,101563.73769800001,-467379.71213500004,-49.87581299162344,2.353604238746143
